year,loss_percentage,activity,food_supply_stage,cause_of_loss
2011,2.5,Winnowing,Farm,
2011,4.40333,"Drying, Harvesting",Harvest,
2011,4.55,"Drying, Harvesting",Harvest,
2011,2.16667,Transportation,Farm,
2011,2.69444,Storage,Farm,
2011,3.6,"Shelling, Threshing",,
2011,2,"Shelling, Threshing",,
2011,1.175,Storage,Farm,
2011,2.5,Winnowing,Farm,
2011,2.5,Transportation,Farm,
2011,3.5,"Drying, Harvesting",Harvest,
2012,3.5,"Shelling, Threshing",,
2012,4.86667,Storage,Farm,
2012,4.43333,"Drying, Harvesting",Harvest,
2012,2.5,Transportation,Farm,
2012,1.32,"Shelling, Threshing",,
2012,2.35714,Transportation,Farm,
2012,6.42,"Drying, Harvesting",Harvest,
2012,4,Drying,Farm,
2012,5.26375,Storage,Farm,
2012,1.2,Storage,Farm,
2012,1.25,Transportation,Farm,
2012,4.40333,"Drying, Harvesting",Harvest,
2012,2.5,Winnowing,Farm,
2012,3.13714,"Shelling, Threshing",,
2012,2.16667,Transportation,Farm,
2012,4.55,"Drying, Harvesting",Harvest,
2012,3.6,"Shelling, Threshing",,
2012,2.69444,Storage,Farm,
2012,3.5,"Drying, Harvesting",Harvest,
2012,1.175,Storage,Farm,
2012,2.5,Winnowing,Farm,
2012,2.5,Transportation,Farm,
2012,2,"Shelling, Threshing",,
2013,4.43333,"Drying, Harvesting",Harvest,
2013,3.5,"Shelling, Threshing",,
2013,4.86667,Storage,Farm,
2013,2.5,Transportation,Farm,
2013,2.35714,Transportation,Farm,
2013,5.26375,Storage,Farm,
2013,1.32,"Shelling, Threshing",,
2013,4,Drying,Farm,
2013,6.42,"Drying, Harvesting",Harvest,
2013,4.40333,"Drying, Harvesting",Harvest,
2013,3.13714,"Shelling, Threshing",,
2013,1.25,Transportation,Farm,
2013,2.5,Winnowing,Farm,
2013,1.2,Storage,Farm,
2013,2.69444,Storage,Farm,
2013,4.55,"Drying, Harvesting",Harvest,
2013,3.6,"Shelling, Threshing",,
2013,2.16667,Transportation,Farm,
2013,3.5,"Drying, Harvesting",Harvest,
2013,2.5,Winnowing,Farm,
2013,1.175,Storage,Farm,
2013,2.5,Transportation,Farm,
2013,2,"Shelling, Threshing",,
2014,4.43333,"Drying, Harvesting",Harvest,
2014,2.5,Transportation,Farm,
2014,3.5,"Shelling, Threshing",,
2014,4.86667,Storage,Farm,
2014,5.26375,Storage,Farm,
2014,2.35714,Transportation,Farm,
2014,4,Drying,Farm,
2014,1.32,"Shelling, Threshing",,
2014,6.42,"Drying, Harvesting",Harvest,
2014,3.13714,"Shelling, Threshing",,
2014,4.40333,"Drying, Harvesting",Harvest,
2014,1.2,Storage,Farm,
2014,2.5,Winnowing,Farm,
2014,1.25,Transportation,Farm,
2014,2.16667,Transportation,Farm,
2014,3.6,"Shelling, Threshing",,
2014,2.69444,Storage,Farm,
2014,4.55,"Drying, Harvesting",Harvest,
2014,1.175,Storage,Farm,
2014,2,"Shelling, Threshing",,
2014,3.5,"Drying, Harvesting",Harvest,
2014,2.5,Transportation,Farm,
2014,2.5,Winnowing,Farm,
2015,4.86667,Storage,Farm,
2015,2.5,Transportation,Farm,
2015,3.5,"Shelling, Threshing",,
2015,4.43333,"Drying, Harvesting",Harvest,
2015,4,Drying,Farm,
2015,5.26375,Storage,Farm,
2015,6.42,"Drying, Harvesting",Harvest,
2015,1.32,"Shelling, Threshing",,
2015,2.35714,Transportation,Farm,
2015,2.5,Winnowing,Farm,
2015,1.2,Storage,Farm,
2015,3.13714,"Shelling, Threshing",,
2015,1.25,Transportation,Farm,
2015,4.40333,"Drying, Harvesting",Harvest,
2015,4.55,"Drying, Harvesting",Harvest,
2015,2.16667,Transportation,Farm,
2015,3.6,"Shelling, Threshing",,
2015,2.69444,Storage,Farm,
2015,2,"Shelling, Threshing",,
2015,1.175,Storage,Farm,
2015,2.5,Transportation,Farm,
2015,2.5,Winnowing,Farm,
2015,3.5,"Drying, Harvesting",Harvest,
2016,4.86667,Storage,Farm,
2016,3.5,"Shelling, Threshing",,
2016,4.43333,"Drying, Harvesting",Harvest,
2016,2.5,Transportation,Farm,
2016,2.35714,Transportation,Farm,
2016,1.32,"Shelling, Threshing",,
2016,5.26375,Storage,Farm,
2016,6.42,"Drying, Harvesting",Harvest,
2016,4,Drying,Farm,
2016,4.40333,"Drying, Harvesting",Harvest,
2016,1.2,Storage,Farm,
2016,2.5,Winnowing,Farm,
2016,1.25,Transportation,Farm,
2016,3.13714,"Shelling, Threshing",,
2016,2.16667,Transportation,Farm,
2016,4.55,"Drying, Harvesting",Harvest,
2016,3.6,"Shelling, Threshing",,
2016,2.69444,Storage,Farm,
2016,2,"Shelling, Threshing",,
2016,1.175,Storage,Farm,
2016,2.5,Transportation,Farm,
2016,2.5,Winnowing,Farm,
2016,3.5,"Drying, Harvesting",Harvest,
2017,2.5,Transportation,Farm,
2017,4.43333,"Drying, Harvesting",Harvest,
2017,3.5,"Shelling, Threshing",,
2017,4.86667,Storage,Farm,
2017,4,Drying,Farm,
2017,2.35714,Transportation,Farm,
2017,1.32,"Shelling, Threshing",,
2017,6.42,"Drying, Harvesting",Harvest,
2017,5.26375,Storage,Farm,
2017,3.13714,"Shelling, Threshing",,
2017,2.5,Winnowing,Farm,
2017,4.40333,"Drying, Harvesting",Harvest,
2017,1.2,Storage,Farm,
2017,1.25,Transportation,Farm,
2017,2.69444,Storage,Farm,
2017,4.55,"Drying, Harvesting",Harvest,
2017,3.6,"Shelling, Threshing",,
2017,2.16667,Transportation,Farm,
2017,2.5,Winnowing,Farm,
2017,1.175,Storage,Farm,
2017,2,"Shelling, Threshing",,
2017,3.5,"Drying, Harvesting",Harvest,
2017,2.5,Transportation,Farm,
2018,4.43333,"Drying, Harvesting",Harvest,
2018,4.86667,Storage,Farm,
2018,2.5,Transportation,Farm,
2018,3.5,"Shelling, Threshing",,
2018,6.42,"Drying, Harvesting",Harvest,
2018,5.26375,Storage,Farm,
2018,1.32,"Shelling, Threshing",,
2018,2.35714,Transportation,Farm,
2018,4,Drying,Farm,
2018,2.5,Winnowing,Farm,
2018,3.13714,"Shelling, Threshing",,
2018,1.25,Transportation,Farm,
2018,1.2,Storage,Farm,
2018,4.40333,"Drying, Harvesting",Harvest,
2018,4.55,"Drying, Harvesting",Harvest,
2018,2.69444,Storage,Farm,
2018,3.6,"Shelling, Threshing",,
2018,2.16667,Transportation,Farm,
2018,3.5,"Drying, Harvesting",Harvest,
2018,2.5,Winnowing,Farm,
2018,2,"Shelling, Threshing",,
2018,2.5,Transportation,Farm,
2018,1.175,Storage,Farm,
2019,3.5,"Shelling, Threshing",,
2019,4.43333,"Drying, Harvesting",Harvest,
2019,4.86667,Storage,Farm,
2019,2.5,Transportation,Farm,
2019,4,Drying,Farm,
2019,1.32,"Shelling, Threshing",,
2019,2.35714,Transportation,Farm,
2019,6.42,"Drying, Harvesting",Harvest,
2019,5.26375,Storage,Farm,
2019,1.2,Storage,Farm,
2019,1.25,Transportation,Farm,
2019,2.5,Winnowing,Farm,
2019,4.40333,"Drying, Harvesting",Harvest,
2019,3.13714,"Shelling, Threshing",,
2019,2.16667,Transportation,Farm,
2019,2.69444,Storage,Farm,
2019,3.6,"Shelling, Threshing",,
2019,4.55,"Drying, Harvesting",Harvest,
2019,1.175,Storage,Farm,
2019,2.5,Transportation,Farm,
2019,2.5,Winnowing,Farm,
2019,3.5,"Drying, Harvesting",Harvest,
2019,2,"Shelling, Threshing",,
2020,3.5,"Shelling, Threshing",,
2020,2.5,Transportation,Farm,
2020,4.43333,"Drying, Harvesting",Harvest,
2020,4.86667,Storage,Farm,
2020,6.42,"Drying, Harvesting",Harvest,
2020,4,Drying,Farm,
2020,5.26375,Storage,Farm,
2020,2.35714,Transportation,Farm,
2020,1.32,"Shelling, Threshing",,
2020,1.25,Transportation,Farm,
2020,2.5,Winnowing,Farm,
2020,1.2,Storage,Farm,
2020,4.40333,"Drying, Harvesting",Harvest,
2020,3.13714,"Shelling, Threshing",,
2020,3.6,"Shelling, Threshing",,
2020,2.16667,Transportation,Farm,
2020,4.55,"Drying, Harvesting",Harvest,
2020,2.69444,Storage,Farm,
2020,1.175,Storage,Farm,
2020,2,"Shelling, Threshing",,
2020,3.5,"Drying, Harvesting",Harvest,
2020,2.5,Transportation,Farm,
2020,2.5,Winnowing,Farm,
2021,4.43333,"Drying, Harvesting",Harvest,
2021,4.86667,Storage,Farm,
2021,3.5,"Shelling, Threshing",,
2021,2.5,Transportation,Farm,
2021,6.42,"Drying, Harvesting",Harvest,
2021,1.32,"Shelling, Threshing",,
2021,5.26375,Storage,Farm,
2021,2.35714,Transportation,Farm,
2021,4,Drying,Farm,
2021,2.5,Winnowing,Farm,
2021,1.25,Transportation,Farm,
2021,4.40333,"Drying, Harvesting",Harvest,
2021,1.2,Storage,Farm,
2021,3.13714,"Shelling, Threshing",,
2021,2.69444,Storage,Farm,
